Time,X,Y,Z,VX,VY,VZ,Roll,Pitch,Yaw,RollRate,PitchRate,YawRate
2.0700,0.0000,0.0000,2.1968,0.0000,0.0000,-3.2951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.0800,0.0000,0.0000,2.1639,0.0000,0.0000,-3.2944,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.0900,0.0000,0.0000,2.1310,0.0000,0.0000,-3.2920,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.1000,0.0000,0.0000,2.0981,0.0000,0.0000,-3.2880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.1100,0.0000,0.0000,2.0653,0.0000,0.0000,-3.2824,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.1200,0.0000,0.0000,2.0325,0.0000,0.0000,-3.2752,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.1300,0.0000,0.0000,1.9998,0.0000,0.0000,-3.2663,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.1400,0.0000,0.0000,1.9673,0.0000,0.0000,-3.2559,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.1500,0.0000,0.0000,1.9348,0.0000,0.0000,-3.2439,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.1600,0.0000,0.0000,1.9025,0.0000,0.0000,-3.2304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.1700,0.0000,0.0000,1.8704,0.0000,0.0000,-3.2153,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.1800,0.0000,0.0000,1.8384,0.0000,0.0000,-3.1986,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.1900,0.0000,0.0000,1.8066,0.0000,0.0000,-3.1804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.2000,0.0000,0.0000,1.7750,0.0000,0.0000,-3.1607,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.2100,0.0000,0.0000,1.7436,0.0000,0.0000,-3.1395,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.2200,0.0000,0.0000,1.7124,0.0000,0.0000,-3.1168,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.2300,0.0000,0.0000,1.6815,0.0000,0.0000,-3.0926,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.2400,0.0000,0.0000,1.6508,0.0000,0.0000,-3.0670,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.2500,0.0000,0.0000,1.6204,0.0000,0.0000,-3.0399,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.2600,0.0000,0.0000,1.5903,0.0000,0.0000,-3.0114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.2700,0.0000,0.0000,1.5605,0.0000,0.0000,-2.9815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.2800,0.0000,0.0000,1.5310,0.0000,0.0000,-2.9502,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.2900,0.0000,0.0000,1.5018,0.0000,0.0000,-2.9176,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.3000,0.0000,0.0000,1.4730,0.0000,0.0000,-2.8836,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.3100,0.0000,0.0000,1.4445,0.0000,0.0000,-2.8483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.3200,0.0000,0.0000,1.4164,0.0000,0.0000,-2.8116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.3300,0.0000,0.0000,1.3886,0.0000,0.0000,-2.7737,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.3400,0.0000,0.0000,1.3613,0.0000,0.0000,-2.7346,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.3500,0.0000,0.0000,1.3344,0.0000,0.0000,-2.6942,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.3600,0.0000,0.0000,1.3078,0.0000,0.0000,-2.6525,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.3700,0.0000,0.0000,1.2817,0.0000,0.0000,-2.6097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.3800,0.0000,0.0000,1.2561,0.0000,0.0000,-2.5658,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.3900,0.0000,0.0000,1.2309,0.0000,0.0000,-2.5207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.4000,0.0000,0.0000,1.2061,0.0000,0.0000,-2.4745,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.4100,0.0000,0.0000,1.1819,0.0000,0.0000,-2.4272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.4200,0.0000,0.0000,1.1581,0.0000,0.0000,-2.3788,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.4300,0.0000,0.0000,1.1348,0.0000,0.0000,-2.3294,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.4400,0.0000,0.0000,1.1120,0.0000,0.0000,-2.2790,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.4500,0.0000,0.0000,1.0897,0.0000,0.0000,-2.2277,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.4600,0.0000,0.0000,1.0680,0.0000,0.0000,-2.1754,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.4700,0.0000,0.0000,1.0467,0.0000,0.0000,-2.1221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.4800,0.0000,0.0000,1.0261,0.0000,0.0000,-2.0680,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.4900,0.0000,0.0000,1.0059,0.0000,0.0000,-2.0130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.5000,0.0000,0.0000,0.9864,0.0000,0.0000,-1.9572,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.5100,0.0000,0.0000,0.9673,0.0000,0.0000,-1.9006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.5200,0.0000,0.0000,0.9489,0.0000,0.0000,-1.8432,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.5300,0.0000,0.0000,0.9311,0.0000,0.0000,-1.7851,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.5400,0.0000,0.0000,0.9138,0.0000,0.0000,-1.7262,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.5500,0.0000,0.0000,0.8971,0.0000,0.0000,-1.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.5600,0.0000,0.0000,0.8811,0.0000,0.0000,-1.6065,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.5700,0.0000,0.0000,0.8656,0.0000,0.0000,-1.5458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.5800,0.0000,0.0000,0.8508,0.0000,0.0000,-1.4844,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.5900,0.0000,0.0000,0.8365,0.0000,0.0000,-1.4225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.6000,0.0000,0.0000,0.8229,0.0000,0.0000,-1.3601,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.6100,0.0000,0.0000,0.8100,0.0000,0.0000,-1.2972,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.6200,0.0000,0.0000,0.7976,0.0000,0.0000,-1.2338,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.6300,0.0000,0.0000,0.7859,0.0000,0.0000,-1.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.6400,0.0000,0.0000,0.7749,0.0000,0.0000,-1.1058,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.6500,0.0000,0.0000,0.7645,0.0000,0.0000,-1.0413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.6600,0.0000,0.0000,0.7547,0.0000,0.0000,-0.9765,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.6700,0.0000,0.0000,0.7456,0.0000,0.0000,-0.9113,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.6800,0.0000,0.0000,0.7371,0.0000,0.0000,-0.8459,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.6900,0.0000,0.0000,0.7293,0.0000,0.0000,-0.7803,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.7000,0.0000,0.0000,0.7222,0.0000,0.0000,-0.7145,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.7100,0.0000,0.0000,0.7157,0.0000,0.0000,-0.6486,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.7200,0.0000,0.0000,0.7099,0.0000,0.0000,-0.5825,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.7300,0.0000,0.0000,0.7047,0.0000,0.0000,-0.5163,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
